time	sampler1.u	sampler1.y
0.000	0.0000	0.0000
0.010	0.0628	0.0000
0.020	0.1253	0.0000
0.030	0.1874	0.0000
0.040	0.2487	0.0000
0.050	0.3090	0.0000
0.060	0.3681	0.0000
0.070	0.4258	0.0000
0.080	0.4818	0.0000
0.090	0.5358	0.0000
0.100	0.5878	0.0000
0.110	0.6374	0.0000
0.120	0.6845	0.0000
0.130	0.7290	0.0000
0.140	0.7705	0.0000
0.150	0.8090	0.0000
0.160	0.8443	0.0000
0.170	0.8763	0.0000
0.180	0.9048	0.0000
0.190	0.9298	0.0000
0.200	0.9511	0.9511
0.210	0.9686	0.9511
0.220	0.9823	0.9511
0.230	0.9921	0.9511
0.240	0.9980	0.9511
0.250	1.0000	0.9511
0.260	0.9980	0.9511
0.270	0.9921	0.9511
0.280	0.9823	0.9511
0.290	0.9686	0.9511
0.300	0.9511	0.9511
0.310	0.9298	0.9511
0.320	0.9048	0.9511
0.330	0.8763	0.9511
0.340	0.8443	0.9511
0.350	0.8090	0.9511
0.360	0.7705	0.9511
0.370	0.7290	0.9511
0.380	0.6845	0.9511
0.390	0.6374	0.9511
0.400	0.5878	0.5878
0.410	0.5358	0.5878
0.420	0.4818	0.5878
0.430	0.4258	0.5878
0.440	0.3681	0.5878
0.450	0.3090	0.5878
0.460	0.2487	0.5878
0.470	0.1874	0.5878
0.480	0.1253	0.5878
0.490	0.0628	0.5878
0.500	0.0000	0.5878
0.510	-0.0628	0.5878
0.520	-0.1253	0.5878
0.530	-0.1874	0.5878
0.540	-0.2487	0.5878
0.550	-0.3090	0.5878
0.560	-0.3681	0.5878
0.570	-0.4258	0.5878
0.580	-0.4818	0.5878
0.590	-0.5358	0.5878
0.600	-0.5878	-0.5878
0.610	-0.6374	-0.5878
0.620	-0.6845	-0.5878
0.630	-0.7290	-0.5878
0.640	-0.7705	-0.5878
0.650	-0.8090	-0.5878
0.660	-0.8443	-0.5878
0.670	-0.8763	-0.5878
0.680	-0.9048	-0.5878
0.690	-0.9298	-0.5878
0.700	-0.9511	-0.5878
0.710	-0.9686	-0.5878
0.720	-0.9823	-0.5878
0.730	-0.9921	-0.5878
0.740	-0.9980	-0.5878
0.750	-1.0000	-0.5878
0.760	-0.9980	-0.5878
0.770	-0.9921	-0.5878
0.780	-0.9823	-0.5878
0.790	-0.9686	-0.5878
0.800	-0.9511	-0.9511
0.810	-0.9298	-0.9511
0.820	-0.9048	-0.9511
0.830	-0.8763	-0.9511
0.840	-0.8443	-0.9511
0.850	-0.8090	-0.9511
0.860	-0.7705	-0.9511
0.870	-0.7290	-0.9511
0.880	-0.6845	-0.9511
0.890	-0.6374	-0.9511
0.900	-0.5878	-0.9511
0.910	-0.5358	-0.9511
0.920	-0.4818	-0.9511
0.930	-0.4258	-0.9511
0.940	-0.3681	-0.9511
0.950	-0.3090	-0.9511
0.960	-0.2487	-0.9511
0.970	-0.1874	-0.9511
0.980	-0.1253	-0.9511
0.990	-0.0628	-0.9511
1.000	-0.0000	-0.0000