time	timSupCooReq.TSet	timSupCooReq.TZon	timSupCooReq.y	timSupAla.TSet	timSupAla.TZon	timSupAla.y
0.0	295.1500	298.1500	1	295.1500	298.1500	1
72.0	295.1500	298.2756	1	295.1500	298.2756	1
144.0	295.1500	298.4007	1	295.1500	298.4007	1
216.0	295.1500	298.5248	1	295.1500	298.5248	1
288.0	295.1500	298.6474	1	295.1500	298.6474	1
360.0	295.1500	298.7680	1	295.1500	298.7680	1
432.0	295.1500	298.8862	1	295.1500	298.8862	1
504.0	295.1500	299.0016	1	295.1500	299.0016	1
576.0	295.1500	299.1135	1	295.1500	299.1135	1
648.0	295.1500	299.2217	1	295.1500	299.2217	1
720.0	295.1500	299.3256	1	295.1500	299.3256	1
792.0	295.1500	299.4248	1	295.1500	299.4248	1
864.0	295.1500	299.5191	1	295.1500	299.5191	1
936.0	295.4500	299.6079	1	295.4500	299.6079	1
1008.0	296.0500	299.6910	0	296.0500	299.6910	0
1080.0	296.6500	299.7680	0	296.6500	299.7680	0
1152.0	297.2500	299.8387	0	297.2500	299.8387	0
1224.0	297.8500	299.9026	0	297.8500	299.9026	0
1296.0	298.4500	299.9597	0	298.4500	299.9597	0
1368.0	299.0500	300.0096	0	299.0500	300.0096	0
1440.0	299.6500	300.0521	0	299.6500	300.0521	0
1512.0	300.1500	300.0872	0	300.1500	300.0872	0
1584.0	300.1500	300.1146	0	300.1500	300.1146	0
1656.0	300.1500	300.1342	0	300.1500	300.1342	0
1728.0	300.1500	300.1461	1	300.1500	300.1461	1
1800.0	300.1500	300.1500	1	300.1500	300.1500	1
1872.0	300.1500	300.1461	1	300.1500	300.1461	1
1944.0	300.1500	300.1342	1	300.1500	300.1342	1
2016.0	300.1500	300.1146	1	300.1500	300.1146	1
2088.0	300.1500	300.0872	1	300.1500	300.0872	1
2160.0	300.1500	300.0521	1	300.1500	300.0521	1
2232.0	300.1500	300.0096	1	300.1500	300.0096	1
2304.0	300.1500	299.9597	1	300.1500	299.9597	1
2376.0	300.1500	299.9026	1	300.1500	299.9026	1
2448.0	300.1500	299.8387	1	300.1500	299.8387	1
2520.0	300.1500	299.7680	1	300.1500	299.7680	1
2592.0	300.1500	299.6910	1	300.1500	299.6910	1
2664.0	300.1500	299.6079	1	300.1500	299.6079	1
2736.0	300.1500	299.5191	1	300.1500	299.5191	1
2808.0	300.1500	299.4248	1	300.1500	299.4248	1
2880.0	300.1500	299.3256	1	300.1500	299.3256	1
2952.0	300.1500	299.2217	1	300.1500	299.2217	1
3024.0	300.1500	299.1135	1	300.1500	299.1135	1
3096.0	300.1500	299.0016	1	300.1500	299.0016	1
3168.0	300.1500	298.8862	1	300.1500	298.8862	1
3240.0	300.1500	298.7680	1	300.1500	298.7680	1
3312.0	300.1500	298.6474	1	300.1500	298.6474	1
3384.0	300.1500	298.5248	1	300.1500	298.5248	1
3456.0	300.1500	298.4007	1	300.1500	298.4007	1
3528.0	300.1500	298.2756	1	300.1500	298.2756	1
3600.0	300.1500	298.1500	1	300.1500	298.1500	1
3672.0	300.1500	298.0244	1	300.1500	298.0244	1
3744.0	300.1500	297.8993	1	300.1500	297.8993	1
3816.0	300.1500	297.7752	1	300.1500	297.7752	1
3888.0	300.1500	297.6526	1	300.1500	297.6526	1
3960.0	300.1500	297.5320	1	300.1500	297.5320	1
4032.0	300.1500	297.4138	1	300.1500	297.4138	1
4104.0	300.1500	297.2984	1	300.1500	297.2984	1
4176.0	300.1500	297.1865	1	300.1500	297.1865	1
4248.0	300.1500	297.0783	1	300.1500	297.0783	1
4320.0	300.1500	296.9744	1	300.1500	296.9744	1
4392.0	300.1500	296.8752	1	300.1500	296.8752	1
4464.0	300.1500	296.7809	1	300.1500	296.7809	1
4536.0	300.1500	296.6921	1	300.1500	296.6921	1
4608.0	300.1500	296.6090	1	300.1500	296.6090	1
4680.0	300.1500	296.5320	1	300.1500	296.5320	1
4752.0	300.1500	296.4613	1	300.1500	296.4613	1
4824.0	300.1500	296.3974	1	300.1500	296.3974	1
4896.0	300.1500	296.3403	1	300.1500	296.3403	1
4968.0	300.1500	296.2904	1	300.1500	296.2904	1
5040.0	300.1500	296.2479	1	300.1500	296.2479	1
5112.0	300.1500	296.2128	1	300.1500	296.2128	1
5184.0	300.1500	296.1854	1	300.1500	296.1854	1
5256.0	300.1500	296.1658	1	300.1500	296.1658	1
5328.0	300.1500	296.1539	1	300.1500	296.1539	1
5400.0	300.1500	296.1500	1	300.1500	296.1500	1
5472.0	300.1500	296.1539	1	300.1500	296.1539	1
5544.0	300.1500	296.1658	1	300.1500	296.1658	1
5616.0	300.1500	296.1854	1	300.1500	296.1854	1
5688.0	300.1500	296.2128	1	300.1500	296.2128	1
5760.0	300.1500	296.2479	1	300.1500	296.2479	1
5832.0	300.1500	296.2904	1	300.1500	296.2904	1
5904.0	300.1500	296.3403	1	300.1500	296.3403	1
5976.0	300.1500	296.3974	1	300.1500	296.3974	1
6048.0	300.1500	296.4613	1	300.1500	296.4613	1
6120.0	300.1500	296.5320	1	300.1500	296.5320	1
6192.0	300.1500	296.6090	1	300.1500	296.6090	1
6264.0	300.1500	296.6921	1	300.1500	296.6921	1
6336.0	300.1500	296.7809	1	300.1500	296.7809	1
6408.0	300.1500	296.8752	1	300.1500	296.8752	1
6480.0	300.1500	296.9744	1	300.1500	296.9744	1
6552.0	300.1500	297.0783	1	300.1500	297.0783	1
6624.0	300.1500	297.1865	1	300.1500	297.1865	1
6696.0	300.1500	297.2984	1	300.1500	297.2984	1
6768.0	300.1500	297.4138	1	300.1500	297.4138	1
6840.0	300.1500	297.5320	1	300.1500	297.5320	1
6912.0	300.1500	297.6526	1	300.1500	297.6526	1
6984.0	300.1500	297.7752	1	300.1500	297.7752	1
7056.0	300.1500	297.8993	1	300.1500	297.8993	1
7128.0	300.1500	298.0244	1	300.1500	298.0244	1
7200.0	300.1500	298.1500	1	300.1500	298.1500	1