time	noThr.u	noThr.y	thrTim.u	thrTim.y	thrTim1.u	thrTim1.y
0.000	1	0.000	1	0.000	1	0.000
0.050	1	0.050	1	0.050	1	0.050
0.100	1	0.100	1	0.100	1	0.100
0.150	1	0.150	1	0.150	1	0.150
0.200	1	0.200	1	0.200	1	0.200
0.250	1	0.250	1	0.250	1	0.250
0.300	1	0.300	1	0.300	1	0.300
0.350	1	0.350	1	0.350	1	0.350
0.400	1	0.400	1	0.400	0	0.000
0.450	1	0.450	1	0.450	0	0.000
0.500	1	0.500	1	0.500	0	0.000
0.550	1	0.550	1	0.550	0	0.000
0.600	1	0.600	1	0.600	0	0.000
0.650	1	0.650	1	0.650	0	0.000
0.700	1	0.700	1	0.700	0	0.000
0.750	1	0.750	1	0.750	0	0.000
0.800	1	0.800	1	0.800	0	0.000
0.850	1	0.850	1	0.850	0	0.000
0.900	1	0.900	1	0.900	0	0.000
0.950	1	0.950	1	0.950	0	0.000
1.000	1	1.000	1	1.000	1	0.000
1.050	1	1.050	1	1.050	1	0.050
1.100	1	1.100	1	1.100	1	0.100
1.150	1	1.150	1	1.150	1	0.150
1.200	1	1.200	1	1.200	1	0.200
1.250	1	1.250	1	1.250	1	0.250
1.300	1	1.300	1	1.300	1	0.300
1.350	1	1.350	1	1.350	1	0.350
1.400	0	0.000	0	0.000	1	0.400
1.450	0	0.000	0	0.000	1	0.450
1.500	0	0.000	0	0.000	1	0.500
1.550	0	0.000	0	0.000	1	0.550
1.600	0	0.000	0	0.000	1	0.600
1.650	0	0.000	0	0.000	1	0.650
1.700	0	0.000	0	0.000	1	0.700
1.750	0	0.000	0	0.000	1	0.750
1.800	0	0.000	0	0.000	1	0.800
1.850	0	0.000	0	0.000	1	0.850
1.900	0	0.000	0	0.000	1	0.900
1.950	0	0.000	0	0.000	1	0.950
2.000	1	0.000	1	0.000	1	1.000
2.050	1	0.050	1	0.050	1	1.050
2.100	1	0.100	1	0.100	1	1.100
2.150	1	0.150	1	0.150	1	1.150
2.200	1	0.200	1	0.200	1	1.200
2.250	1	0.250	1	0.250	1	1.250
2.300	1	0.300	1	0.300	1	1.300
2.350	1	0.350	1	0.350	1	1.350
2.400	1	0.400	1	0.400	1	1.400
2.450	1	0.450	1	0.450	0	0.000
2.500	1	0.500	1	0.500	0	0.000
2.550	1	0.550	1	0.550	0	0.000
2.600	1	0.600	1	0.600	0	0.000
2.650	1	0.650	1	0.650	0	0.000
2.700	1	0.700	1	0.700	0	0.000
2.750	1	0.750	1	0.750	0	0.000
2.800	1	0.800	1	0.800	0	0.000
2.850	1	0.850	1	0.850	0	0.000
2.900	1	0.900	1	0.900	0	0.000
2.950	1	0.950	1	0.950	0	0.000
3.000	1	1.000	1	1.000	0	0.000
3.050	1	1.050	1	1.050	1	0.000
3.100	1	1.100	1	1.100	1	0.050
3.150	1	1.150	1	1.150	1	0.100
3.200	1	1.200	1	1.200	1	0.150
3.250	1	1.250	1	1.250	1	0.200
3.300	1	1.300	1	1.300	1	0.250
3.350	1	1.350	1	1.350	1	0.300
3.400	1	1.400	1	1.400	1	0.350
3.450	0	0.000	0	0.000	1	0.400
3.500	0	0.000	0	0.000	1	0.450
3.550	0	0.000	0	0.000	1	0.500
3.600	0	0.000	0	0.000	1	0.550
3.650	0	0.000	0	0.000	1	0.600
3.700	0	0.000	0	0.000	1	0.650
3.750	0	0.000	0	0.000	1	0.700
3.800	0	0.000	0	0.000	1	0.750
3.850	0	0.000	0	0.000	1	0.800
3.900	0	0.000	0	0.000	1	0.850
3.950	0	0.000	0	0.000	1	0.900
4.000	0	0.000	0	0.000	1	0.950
4.050	1	0.000	1	0.000	1	1.000
4.100	1	0.050	1	0.050	1	1.050
4.150	1	0.100	1	0.100	1	1.100
4.200	1	0.150	1	0.150	1	1.150
4.250	1	0.200	1	0.200	1	1.200
4.300	1	0.250	1	0.250	1	1.250
4.350	1	0.300	1	0.300	1	1.300
4.400	1	0.350	1	0.350	1	1.350
4.450	1	0.400	1	0.400	0	0.000
4.500	1	0.450	1	0.450	0	0.000
4.550	1	0.500	1	0.500	0	0.000
4.600	1	0.550	1	0.550	0	0.000
4.650	1	0.600	1	0.600	0	0.000
4.700	1	0.650	1	0.650	0	0.000
4.750	1	0.700	1	0.700	0	0.000
4.800	1	0.750	1	0.750	0	0.000
4.850	1	0.800	1	0.800	0	0.000
4.900	1	0.850	1	0.850	0	0.000
4.950	1	0.900	1	0.900	0	0.000
5.000	1	0.950	1	0.950	0	0.000